GISJOIN,YEAR,NATION,NATIONA,AREANAME,STATEICP,COUNTYICP,B1T001,B1T002
"G1","1950","United States","1","United States","101","0",135149632,16176170
"G2","1950","Contiguous United States","2","Contiguous United States","100","0",134942032,15755334
